input,output,industry,tone
Áo thun cotton giá 299k cho khách trẻ mùa hè,Áo thun cotton mát nhẹ cho ngày hè giá chỉ 299k form dễ mặc đơn từ 499k được freeship đặt ngay trước khi hết size đẹp,ecommerce,urgent
Flash sale giày sneaker giảm 35 phần trăm trong 24 giờ,Săn sneaker mới với giá tốt hơn 35 phần trăm để đi làm đi chơi và phối đồ mỗi ngày bấm mua ngay trước khi đợt sale kết thúc,ecommerce,urgent
Balo laptop chống nước đựng laptop 15 inch cho dân văn phòng,Balo laptop chống nước giúp mang máy tính sạc sổ tay và vật dụng cá nhân gọn gàng thiết kế tối giản phù hợp đi làm hằng ngày,ecommerce,professional
Email nhắc giỏ hàng serum vitamin C bị bỏ quên,Bạn vẫn còn để lại serum vitamin C trong giỏ hàng hãy hoàn tất đơn để bắt đầu chu trình chăm sóc da sáng hơn từ hôm nay,ecommerce,friendly
Landing hero cho bộ ga giường cotton cao cấp,Bộ ga giường cotton cao cấp giúp phòng ngủ mềm thoáng và gọn đẹp chất liệu dễ giặt dễ phơi phù hợp gia đình trẻ,ecommerce,luxury
CTA cho máy xay sinh tố mini cầm tay,Đặt máy xay mini ngay hôm nay để tự làm sinh tố nước ép và sốt tươi chỉ trong vài phút nhỏ gọn dễ mang đi làm,ecommerce,friendly
Mô tả kem chống nắng SPF50 không nặng mặt,Kem chống nắng SPF50 bảo vệ da mỗi ngày mà vẫn nhẹ mặt dễ tán không để vệt trắng phù hợp dùng trước khi trang điểm,ecommerce,professional
Caption ra mắt túi tote canvas có ngăn laptop,Túi tote canvas mới có ngăn laptop riêng form đứng đẹp màu tối giản để đi học đi làm hay đi cafe đều hợp,ecommerce,friendly
Headline mua 2 tặng 1 mỹ phẩm organic,Mua 2 tặng 1 cho routine chăm sóc da organic chọn sản phẩm bạn dùng mỗi ngày và nhận thêm một món yêu thích,ecommerce,urgent
Email giới thiệu combo đồ bếp cho người mới sống riêng,Combo đồ bếp thông minh giúp việc nấu ăn bớt rối hơn gồm những món cần thiết dễ dùng dễ rửa và phù hợp căn bếp nhỏ,ecommerce,friendly
Mô tả đèn bàn LED bảo vệ mắt có 3 chế độ sáng,Đèn bàn LED có 3 chế độ sáng giúp làm việc đọc sách và học tập thoải mái hơn ánh sáng ổn định và dễ điều chỉnh,ecommerce,professional
Social post ngày cuối sale đồng hồ thông minh,Ngày cuối mua đồng hồ thông minh với giá ưu đãi theo dõi sức khỏe nhận thông báo và yên tâm hơn với bảo hành 12 tháng,ecommerce,urgent
