input,output,industry,tone
TYPE=headline | INDUSTRY=ecommerce | TONE=urgent | PRODUCT=bình giữ nhiệt thép 316 | AUDIENCE=dân văn phòng mang cà phê đi làm | FEATURES=giữ nóng 8 giờ ; nắp chống tràn ; dễ vệ sinh | OFFER=freeship cho đơn từ 2 sản phẩm | BRAND_VOICE=Hat Moc | STYLE=am ap nhung tiet che | RULES=khong noi qua khong bia so lieu khong dung giong giat title | STRUCTURE=luon co Goc can biet va CTA mem khi phu hop,Headline: bình giữ nhiệt thép 316 cho dân văn phòng mang cà phê đi làm | Lý do chọn: giữ nóng 8 giờ ; nắp chống tràn ; dễ vệ sinh. | Góc cần biết: Giọng Hat Moc nhắc thời điểm mua nhưng không gây áp lực. Không thêm cam kết ngoài brief. | CTA mềm: Nhắn shop hỏi thêm trước khi chọn BINH_GIU_NHIET_THEP_316.,ecommerce,urgent
TYPE=headline | INDUSTRY=ecommerce | TONE=friendly | PRODUCT=bình giữ nhiệt thép 316 | AUDIENCE=dân văn phòng mang cà phê đi làm | FEATURES=giữ nóng 8 giờ ; nắp chống tràn ; dễ vệ sinh | OFFER=freeship cho đơn từ 2 sản phẩm | BRAND_VOICE=Hat Moc | STYLE=am ap nhung tiet che | RULES=khong noi qua khong bia so lieu khong dung giong giat title | STRUCTURE=luon co Goc can biet va CTA mem khi phu hop,Headline: bình giữ nhiệt thép 316 cho dân văn phòng mang cà phê đi làm | Lý do chọn: giữ nóng 8 giờ ; nắp chống tràn ; dễ vệ sinh. | Góc cần biết: Giọng Hat Moc nói gần gũi như đang tư vấn cho người quen. Không thêm cam kết ngoài brief. | CTA mềm: Nhắn shop hỏi thêm trước khi chọn BINH_GIU_NHIET_THEP_316.,ecommerce,friendly
TYPE=description | INDUSTRY=ecommerce | TONE=professional | PRODUCT=bình giữ nhiệt thép 316 | AUDIENCE=dân văn phòng mang cà phê đi làm | FEATURES=giữ nóng 8 giờ ; nắp chống tràn ; dễ vệ sinh | OFFER=freeship cho đơn từ 2 sản phẩm | BRAND_VOICE=Hat Moc | STYLE=am ap nhung tiet che | RULES=khong noi qua khong bia so lieu khong dung giong giat title | STRUCTURE=luon co Goc can biet va CTA mem khi phu hop,Phù hợp với: dân văn phòng mang cà phê đi làm muốn một lựa chọn dễ dùng và không cần đọc quá nhiều thông tin rối. | Điểm nổi bật: bình giữ nhiệt thép 316 có giữ nóng 8 giờ ; nắp chống tràn ; dễ vệ sinh. | Góc cần biết: Nội dung chỉ dùng dữ kiện trong brief. Nếu cần so sánh thêm thì nên hỏi shop trước khi mua. | CTA mềm: Lưu lại sản phẩm hoặc nhắn shop để được tư vấn đúng nhu cầu BINH_GIU_NHIET_THEP_316.,ecommerce,professional
TYPE=description | INDUSTRY=ecommerce | TONE=emotional | PRODUCT=bình giữ nhiệt thép 316 | AUDIENCE=dân văn phòng mang cà phê đi làm | FEATURES=giữ nóng 8 giờ ; nắp chống tràn ; dễ vệ sinh | OFFER=freeship cho đơn từ 2 sản phẩm | BRAND_VOICE=Hat Moc | STYLE=am ap nhung tiet che | RULES=khong noi qua khong bia so lieu khong dung giong giat title | STRUCTURE=luon co Goc can biet va CTA mem khi phu hop,Phù hợp với: dân văn phòng mang cà phê đi làm muốn một lựa chọn dễ dùng và không cần đọc quá nhiều thông tin rối. | Điểm nổi bật: bình giữ nhiệt thép 316 có giữ nóng 8 giờ ; nắp chống tràn ; dễ vệ sinh. | Góc cần biết: Nội dung chỉ dùng dữ kiện trong brief. Nếu cần so sánh thêm thì nên hỏi shop trước khi mua. | CTA mềm: Lưu lại sản phẩm hoặc nhắn shop để được tư vấn đúng nhu cầu BINH_GIU_NHIET_THEP_316.,ecommerce,emotional
TYPE=social | INDUSTRY=ecommerce | TONE=friendly | PRODUCT=bình giữ nhiệt thép 316 | AUDIENCE=dân văn phòng mang cà phê đi làm | FEATURES=giữ nóng 8 giờ ; nắp chống tràn ; dễ vệ sinh | OFFER=freeship cho đơn từ 2 sản phẩm | BRAND_VOICE=Hat Moc | STYLE=am ap nhung tiet che | RULES=khong noi qua khong bia so lieu khong dung giong giat title | STRUCTURE=luon co Goc can biet va CTA mem khi phu hop,Mở bài: Có những món không cần nói quá nhiều vẫn thấy hợp nhu cầu hằng ngày. | Điểm đáng cân nhắc: bình giữ nhiệt thép 316 dành cho dân văn phòng mang cà phê đi làm với giữ nóng 8 giờ ; nắp chống tràn ; dễ vệ sinh. | Góc cần biết: freeship cho đơn từ 2 sản phẩm. Hat Moc ưu tiên nói rõ lợi ích và tránh tạo cảm giác phải mua ngay. | CTA mềm: Nếu đang phân vân thì nhắn shop hỏi thêm trước khi chọn.,ecommerce,friendly
TYPE=social | INDUSTRY=ecommerce | TONE=urgent | PRODUCT=bình giữ nhiệt thép 316 | AUDIENCE=dân văn phòng mang cà phê đi làm | FEATURES=giữ nóng 8 giờ ; nắp chống tràn ; dễ vệ sinh | OFFER=freeship cho đơn từ 2 sản phẩm | BRAND_VOICE=Hat Moc | STYLE=am ap nhung tiet che | RULES=khong noi qua khong bia so lieu khong dung giong giat title | STRUCTURE=luon co Goc can biet va CTA mem khi phu hop,Mở bài: Có những món không cần nói quá nhiều vẫn thấy hợp nhu cầu hằng ngày. | Điểm đáng cân nhắc: bình giữ nhiệt thép 316 dành cho dân văn phòng mang cà phê đi làm với giữ nóng 8 giờ ; nắp chống tràn ; dễ vệ sinh. | Góc cần biết: freeship cho đơn từ 2 sản phẩm. Hat Moc ưu tiên nói rõ lợi ích và tránh tạo cảm giác phải mua ngay. | CTA mềm: Nếu đang phân vân thì nhắn shop hỏi thêm trước khi chọn.,ecommerce,urgent
TYPE=email | INDUSTRY=ecommerce | TONE=professional | PRODUCT=bình giữ nhiệt thép 316 | AUDIENCE=dân văn phòng mang cà phê đi làm | FEATURES=giữ nóng 8 giờ ; nắp chống tràn ; dễ vệ sinh | OFFER=freeship cho đơn từ 2 sản phẩm | BRAND_VOICE=Hat Moc | STYLE=am ap nhung tiet che | RULES=khong noi qua khong bia so lieu khong dung giong giat title | STRUCTURE=luon co Goc can biet va CTA mem khi phu hop,Subject: Gợi ý bình giữ nhiệt thép 316 cho nhu cầu hằng ngày | Preview text: Thông tin ngắn gọn để bạn cân nhắc trước khi mua. | Nội dung: Nếu bạn là dân văn phòng mang cà phê đi làm thì bình giữ nhiệt thép 316 là lựa chọn đáng xem nhờ giữ nóng 8 giờ ; nắp chống tràn ; dễ vệ sinh. Ưu đãi hiện có là freeship cho đơn từ 2 sản phẩm. | Góc cần biết: Email này không phóng đại hiệu quả và không thêm số liệu ngoài brief. | CTA mềm: Xem chi tiết rồi chọn khi thấy thật sự phù hợp.,ecommerce,professional
TYPE=cta | INDUSTRY=ecommerce | TONE=friendly | PRODUCT=bình giữ nhiệt thép 316 | AUDIENCE=dân văn phòng mang cà phê đi làm | FEATURES=giữ nóng 8 giờ ; nắp chống tràn ; dễ vệ sinh | OFFER=freeship cho đơn từ 2 sản phẩm | BRAND_VOICE=Hat Moc | STYLE=am ap nhung tiet che | RULES=khong noi qua khong bia so lieu khong dung giong giat title | STRUCTURE=luon co Goc can biet va CTA mem khi phu hop,CTA chính: Xem bình giữ nhiệt thép 316 phù hợp với bạn không | Microcopy: Có giữ nóng 8 giờ ; nắp chống tràn ; dễ vệ sinh. freeship cho đơn từ 2 sản phẩm. | Góc cần biết: Chọn khi đúng nhu cầu; không cần mua vội.,ecommerce,friendly
TYPE=headline | INDUSTRY=ecommerce | TONE=urgent | PRODUCT=đèn bàn LED chống chói | AUDIENCE=sinh viên học khuya và làm việc tại nhà | FEATURES=3 mức sáng ; cổ đèn linh hoạt ; tiết kiệm điện | OFFER=giảm 10 phần trăm cho khách mới | BRAND_VOICE=Hat Moc | STYLE=am ap nhung tiet che | RULES=khong noi qua khong bia so lieu khong dung giong giat title | STRUCTURE=luon co Goc can biet va CTA mem khi phu hop,Headline: đèn bàn LED chống chói cho sinh viên học khuya và làm việc tại nhà | Lý do chọn: 3 mức sáng ; cổ đèn linh hoạt ; tiết kiệm điện. | Góc cần biết: Giọng Hat Moc nhắc thời điểm mua nhưng không gây áp lực. Không thêm cam kết ngoài brief. | CTA mềm: Nhắn shop hỏi thêm trước khi chọn DEN_BAN_LED_CHONG_CHOI.,ecommerce,urgent
TYPE=headline | INDUSTRY=ecommerce | TONE=friendly | PRODUCT=đèn bàn LED chống chói | AUDIENCE=sinh viên học khuya và làm việc tại nhà | FEATURES=3 mức sáng ; cổ đèn linh hoạt ; tiết kiệm điện | OFFER=giảm 10 phần trăm cho khách mới | BRAND_VOICE=Hat Moc | STYLE=am ap nhung tiet che | RULES=khong noi qua khong bia so lieu khong dung giong giat title | STRUCTURE=luon co Goc can biet va CTA mem khi phu hop,Headline: đèn bàn LED chống chói cho sinh viên học khuya và làm việc tại nhà | Lý do chọn: 3 mức sáng ; cổ đèn linh hoạt ; tiết kiệm điện. | Góc cần biết: Giọng Hat Moc nói gần gũi như đang tư vấn cho người quen. Không thêm cam kết ngoài brief. | CTA mềm: Nhắn shop hỏi thêm trước khi chọn DEN_BAN_LED_CHONG_CHOI.,ecommerce,friendly
