"input","output","industry","tone","type","product"
"Bạn là chuyên gia copywriting cho ngành Thương Mại Điện Tử.
Hãy viết Tiêu Đề Quảng Cáo với tone Khẩn cấp.
Sản phẩm/dịch vụ: bình giữ nhiệt thép 316.
Từ khóa chính: giữ nóng 8 giờ; nắp chống tràn; dễ vệ sinh.
Đối tượng mục tiêu: dân văn phòng mang cà phê đi làm.
Thông tin bổ sung: freeship cho đơn từ 2 sản phẩm.
Độ dài mong muốn: vừa đủ chi tiết.
Giới hạn output tối đa: 1800 tokens.
Tạo đúng 3 phiên bản riêng biệt.
Định dạng bắt buộc:
Phiên bản 1: ...
Phiên bản 2: ...
Phiên bản 3: ...
Mỗi phiên bản phải tự đứng độc lập, không gom chung thành một đoạn lớn.
Format riêng theo loại nội dung:
Headline: một câu chính sắc, dễ đọc, có lợi ích hoặc điểm khác biệt.
Subheadline: một câu phụ làm rõ lời hứa của headline.
Lời kêu gọi hành động: một câu ngắn thúc đẩy người đọc hành động.
Không viết thành email, social post, mô tả sản phẩm hoặc landing page đầy đủ.
Dùng tiếng Việt tự nhiên, đầy đủ dấu, có lời kêu gọi hành động rõ ràng.
Temperature tham khảo: 0.7.","Phiên bản 1:
Headline: Đừng chần chừ với bình giữ nhiệt thép 316 cho dân văn phòng mang cà phê đi làm với giữ nóng 8 giờ.
Subheadline: Tập trung vào nắp chống tràn và dễ vệ sinh, phù hợp khi bạn cần một lựa chọn rõ ràng và nhanh.
Lời kêu gọi hành động: Xem ngay để chọn đúng mẫu.

Phiên bản 2:
Headline: bình giữ nhiệt thép 316 là lựa chọn đáng cân nhắc cho dân văn phòng mang cà phê đi làm.
Subheadline: Điểm mạnh nằm ở nắp chống tràn, giữ nóng 8 giờ và freeship cho đơn từ 2 sản phẩm để bạn so sánh dễ hơn.
Lời kêu gọi hành động: Nhắn shop để được tư vấn nhanh.

Phiên bản 3:
Headline: Giữ nhịp nhanh hơn cho bình giữ nhiệt thép 316 nếu bạn cần giữ nóng 8 giờ và nắp chống tràn.
Subheadline: Cách trình bày gọn, bám sát nhu cầu thật và không nói quá công dụng.
Lời kêu gọi hành động: Mở chi tiết sản phẩm ngay hôm nay.","ecommerce","urgent","headline","bình giữ nhiệt thép 316"
"Bạn là chuyên gia copywriting cho ngành Thương Mại Điện Tử.
Hãy viết Tiêu Đề Quảng Cáo với tone Thân thiện.
Sản phẩm/dịch vụ: bình giữ nhiệt thép 316.
Từ khóa chính: giữ nóng 8 giờ; nắp chống tràn; dễ vệ sinh.
Đối tượng mục tiêu: dân văn phòng mang cà phê đi làm.
Thông tin bổ sung: freeship cho đơn từ 2 sản phẩm.
Độ dài mong muốn: vừa đủ chi tiết.
Giới hạn output tối đa: 1800 tokens.
Tạo đúng 3 phiên bản riêng biệt.
Định dạng bắt buộc:
Phiên bản 1: ...
Phiên bản 2: ...
Phiên bản 3: ...
Mỗi phiên bản phải tự đứng độc lập, không gom chung thành một đoạn lớn.
Format riêng theo loại nội dung:
Headline: một câu chính sắc, dễ đọc, có lợi ích hoặc điểm khác biệt.
Subheadline: một câu phụ làm rõ lời hứa của headline.
Lời kêu gọi hành động: một câu ngắn thúc đẩy người đọc hành động.
Không viết thành email, social post, mô tả sản phẩm hoặc landing page đầy đủ.
Dùng tiếng Việt tự nhiên, đầy đủ dấu, có lời kêu gọi hành động rõ ràng.
Temperature tham khảo: 0.7.","Phiên bản 1:
Headline: Gợi ý dễ dùng cho bình giữ nhiệt thép 316 cho dân văn phòng mang cà phê đi làm với giữ nóng 8 giờ.
Subheadline: Tập trung vào nắp chống tràn và dễ vệ sinh, phù hợp khi bạn cần một lựa chọn rõ ràng và nhanh.
Lời kêu gọi hành động: Xem ngay để chọn đúng mẫu.

Phiên bản 2:
Headline: bình giữ nhiệt thép 316 là lựa chọn đáng cân nhắc cho dân văn phòng mang cà phê đi làm.
Subheadline: Điểm mạnh nằm ở nắp chống tràn, giữ nóng 8 giờ và freeship cho đơn từ 2 sản phẩm để bạn so sánh dễ hơn.
Lời kêu gọi hành động: Nhắn shop để được tư vấn nhanh.

Phiên bản 3:
Headline: Thêm tiện lợi cho bình giữ nhiệt thép 316 nếu bạn cần giữ nóng 8 giờ và nắp chống tràn.
Subheadline: Cách trình bày gọn, bám sát nhu cầu thật và không nói quá công dụng.
Lời kêu gọi hành động: Mở chi tiết sản phẩm ngay hôm nay.","ecommerce","friendly","headline","bình giữ nhiệt thép 316"
"Bạn là chuyên gia copywriting cho ngành Thương Mại Điện Tử.
Hãy viết Mô Tả Sản Phẩm với tone Cảm xúc.
Sản phẩm/dịch vụ: bình giữ nhiệt thép 316.
Từ khóa chính: giữ nóng 8 giờ; nắp chống tràn; dễ vệ sinh.
Đối tượng mục tiêu: dân văn phòng mang cà phê đi làm.
Thông tin bổ sung: freeship cho đơn từ 2 sản phẩm.
Độ dài mong muốn: vừa đủ chi tiết.
Giới hạn output tối đa: 1800 tokens.
Tạo đúng 3 phiên bản riêng biệt.
Định dạng bắt buộc:
Phiên bản 1: ...
Phiên bản 2: ...
Phiên bản 3: ...
Mỗi phiên bản phải tự đứng độc lập, không gom chung thành một đoạn lớn.
Format riêng theo loại nội dung:
Mô tả ngắn: đoạn mở đầu giới thiệu sản phẩm/dịch vụ.
Lợi ích chính: 2-3 bullet.
Đặc điểm nổi bật: 2-3 bullet.
Lời kêu gọi hành động: lời kêu gọi mua, đăng ký hoặc liên hệ.
Không dùng format email, SEO metadata hoặc caption mạng xã hội.
Dùng tiếng Việt tự nhiên, đầy đủ dấu, có lời kêu gọi hành động rõ ràng.
Temperature tham khảo: 0.7.","Phiên bản 1:
Mô tả ngắn: bình giữ nhiệt thép 316 dành cho dân văn phòng mang cà phê đi làm, nhấn vào trải nghiệm dùng rõ ràng và dễ hiểu.
Lợi ích chính:
- Hỗ trợ nhu cầu thực tế nhờ giữ nóng 8 giờ và nắp chống tràn.
- Giúp bạn cân nhắc nhanh hơn với thông tin đúng brief và freeship cho đơn từ 2 sản phẩm.
Đặc điểm nổi bật:
- giữ nóng 8 giờ.
- dễ vệ sinh.
Lời kêu gọi hành động: Xem chi tiết để chọn mẫu phù hợp.

Phiên bản 2:
Mô tả ngắn: Nếu bạn là dân văn phòng mang cà phê đi làm, bình giữ nhiệt thép 316 là một lựa chọn gọn gàng, dễ dùng và sát nhu cầu.
Lợi ích chính:
- Mang lại cảm giác yên tâm khi xem thông tin rõ ràng.
- Tập trung vào nắp chống tràn và dễ vệ sinh để phục vụ dùng hằng ngày.
Đặc điểm nổi bật:
- nắp chống tràn.
- freeship cho đơn từ 2 sản phẩm.
Lời kêu gọi hành động: Nhắn tin để được tư vấn trước khi mua.

Phiên bản 3:
Mô tả ngắn: bình giữ nhiệt thép 316 giúp dân văn phòng mang cà phê đi làm có thêm một lựa chọn hợp lý cho nhu cầu thường ngày.
Lợi ích chính:
- dễ vệ sinh làm cho việc dùng tiện hơn.
- giữ nóng 8 giờ hỗ trợ đúng mối quan tâm chính.
Đặc điểm nổi bật:
- giữ nóng 8 giờ.
- nắp chống tràn.
Lời kêu gọi hành động: Lưu lại để so sánh khi cần.","ecommerce","emotional","description","bình giữ nhiệt thép 316"
"Bạn là chuyên gia copywriting cho ngành Thương Mại Điện Tử.
Hãy viết Mô Tả Sản Phẩm với tone Chuyên nghiệp.
Sản phẩm/dịch vụ: bình giữ nhiệt thép 316.
Từ khóa chính: giữ nóng 8 giờ; nắp chống tràn; dễ vệ sinh.
Đối tượng mục tiêu: dân văn phòng mang cà phê đi làm.
Thông tin bổ sung: freeship cho đơn từ 2 sản phẩm.
Độ dài mong muốn: vừa đủ chi tiết.
Giới hạn output tối đa: 1800 tokens.
Tạo đúng 3 phiên bản riêng biệt.
Định dạng bắt buộc:
Phiên bản 1: ...
Phiên bản 2: ...
Phiên bản 3: ...
Mỗi phiên bản phải tự đứng độc lập, không gom chung thành một đoạn lớn.
Format riêng theo loại nội dung:
Mô tả ngắn: đoạn mở đầu giới thiệu sản phẩm/dịch vụ.
Lợi ích chính: 2-3 bullet.
Đặc điểm nổi bật: 2-3 bullet.
Lời kêu gọi hành động: lời kêu gọi mua, đăng ký hoặc liên hệ.
Không dùng format email, SEO metadata hoặc caption mạng xã hội.
Dùng tiếng Việt tự nhiên, đầy đủ dấu, có lời kêu gọi hành động rõ ràng.
Temperature tham khảo: 0.7.","Phiên bản 1:
Mô tả ngắn: bình giữ nhiệt thép 316 dành cho dân văn phòng mang cà phê đi làm, nhấn vào trải nghiệm dùng rõ ràng và dễ hiểu.
Lợi ích chính:
- Hỗ trợ nhu cầu thực tế nhờ giữ nóng 8 giờ và nắp chống tràn.
- Giúp bạn cân nhắc nhanh hơn với thông tin đúng brief và freeship cho đơn từ 2 sản phẩm.
Đặc điểm nổi bật:
- giữ nóng 8 giờ.
- dễ vệ sinh.
Lời kêu gọi hành động: Xem chi tiết để chọn mẫu phù hợp.

Phiên bản 2:
Mô tả ngắn: Nếu bạn là dân văn phòng mang cà phê đi làm, bình giữ nhiệt thép 316 là một lựa chọn gọn gàng, dễ dùng và sát nhu cầu.
Lợi ích chính:
- Mang lại cảm giác yên tâm khi xem thông tin rõ ràng.
- Tập trung vào nắp chống tràn và dễ vệ sinh để phục vụ dùng hằng ngày.
Đặc điểm nổi bật:
- nắp chống tràn.
- freeship cho đơn từ 2 sản phẩm.
Lời kêu gọi hành động: Nhắn tin để được tư vấn trước khi mua.

Phiên bản 3:
Mô tả ngắn: bình giữ nhiệt thép 316 giúp dân văn phòng mang cà phê đi làm có thêm một lựa chọn hợp lý cho nhu cầu thường ngày.
Lợi ích chính:
- dễ vệ sinh làm cho việc dùng tiện hơn.
- giữ nóng 8 giờ hỗ trợ đúng mối quan tâm chính.
Đặc điểm nổi bật:
- giữ nóng 8 giờ.
- nắp chống tràn.
Lời kêu gọi hành động: Lưu lại để so sánh khi cần.","ecommerce","professional","description","bình giữ nhiệt thép 316"
"Bạn là chuyên gia copywriting cho ngành Thương Mại Điện Tử.
Hãy viết Social Media Post với tone Thân thiện.
Sản phẩm/dịch vụ: bình giữ nhiệt thép 316.
Từ khóa chính: giữ nóng 8 giờ; nắp chống tràn; dễ vệ sinh.
Đối tượng mục tiêu: dân văn phòng mang cà phê đi làm.
Thông tin bổ sung: freeship cho đơn từ 2 sản phẩm.
Độ dài mong muốn: vừa đủ chi tiết.
Giới hạn output tối đa: 1800 tokens.
Tạo đúng 3 phiên bản riêng biệt.
Định dạng bắt buộc:
Phiên bản 1: ...
Phiên bản 2: ...
Phiên bản 3: ...
Mỗi phiên bản phải tự đứng độc lập, không gom chung thành một đoạn lớn.
Format riêng theo loại nội dung:
Hook: câu mở đầu kéo chú ý.
Caption: nội dung chính dễ đọc trên mạng xã hội.
Lời kêu gọi hành động: hành động mong muốn.
Hashtags: 3-6 hashtag liên quan.
Không thêm Subject, Preview text, SEO title hoặc Meta description.
Dùng tiếng Việt tự nhiên, đầy đủ dấu, có lời kêu gọi hành động rõ ràng.
Temperature tham khảo: 0.7.","Phiên bản 1:
Hook: Một lựa chọn thân thiện cho dân văn phòng mang cà phê đi làm.
Caption: bình giữ nhiệt thép 316 giúp việc hằng ngày nhẹ hơn nhờ giữ nóng 8 giờ, nắp chống tràn và dễ vệ sinh. Hiện có freeship cho đơn từ 2 sản phẩm, phù hợp nếu bạn đang tìm một lựa chọn rõ ràng, dễ cân nhắc.
Lời kêu gọi hành động: Lưu lại hoặc nhắn shop để hỏi thêm.
Hashtags: #BinhGiuNhiet #DanVanPhong #GiuNong8

Phiên bản 2:
Hook: Đừng để nhu cầu nhỏ làm chậm nhịp của dân văn phòng mang cà phê đi làm.
Caption: Với nắp chống tràn và dễ vệ sinh, bình giữ nhiệt thép 316 cho cảm giác thực tế, dễ hiểu và không nói quá công dụng. freeship cho đơn từ 2 sản phẩm là điểm cộng thêm nếu bạn đang so sánh lựa chọn.
Lời kêu gọi hành động: Bình luận nhu cầu của bạn để được gợi ý.
Hashtags: #BinhGiuNhiet #NapChongTran #MuaSamThongMinh

Phiên bản 3:
Hook: Gợi ý dễ dùng cho dân văn phòng mang cà phê đi làm một lựa chọn gọn gàng hơn.
Caption: Khi xem bình giữ nhiệt thép 316, hãy chú ý vào giữ nóng 8 giờ, nắp chống tràn và dễ vệ sinh. Đây là phần thông tin đủ để bạn cân nhắc trước khi quyết định.
Lời kêu gọi hành động: Nhắn tin để kiểm tra mẫu phù hợp.
Hashtags: #BinhGiuNhiet #DeVeSinh #ThuongMaiDienTu","ecommerce","friendly","social","bình giữ nhiệt thép 316"
"Bạn là chuyên gia copywriting cho ngành Thương Mại Điện Tử.
Hãy viết Social Media Post với tone Khẩn cấp.
Sản phẩm/dịch vụ: bình giữ nhiệt thép 316.
Từ khóa chính: giữ nóng 8 giờ; nắp chống tràn; dễ vệ sinh.
Đối tượng mục tiêu: dân văn phòng mang cà phê đi làm.
Thông tin bổ sung: freeship cho đơn từ 2 sản phẩm.
Độ dài mong muốn: vừa đủ chi tiết.
Giới hạn output tối đa: 1800 tokens.
Tạo đúng 3 phiên bản riêng biệt.
Định dạng bắt buộc:
Phiên bản 1: ...
Phiên bản 2: ...
Phiên bản 3: ...
Mỗi phiên bản phải tự đứng độc lập, không gom chung thành một đoạn lớn.
Format riêng theo loại nội dung:
Hook: câu mở đầu kéo chú ý.
Caption: nội dung chính dễ đọc trên mạng xã hội.
Lời kêu gọi hành động: hành động mong muốn.
Hashtags: 3-6 hashtag liên quan.
Không thêm Subject, Preview text, SEO title hoặc Meta description.
Dùng tiếng Việt tự nhiên, đầy đủ dấu, có lời kêu gọi hành động rõ ràng.
Temperature tham khảo: 0.7.","Phiên bản 1:
Hook: Cần xem ngay cho dân văn phòng mang cà phê đi làm.
Caption: bình giữ nhiệt thép 316 giúp việc hằng ngày nhẹ hơn nhờ giữ nóng 8 giờ, nắp chống tràn và dễ vệ sinh. Hiện có freeship cho đơn từ 2 sản phẩm, phù hợp nếu bạn đang tìm một lựa chọn rõ ràng, dễ cân nhắc.
Lời kêu gọi hành động: Lưu lại hoặc nhắn shop để hỏi thêm.
Hashtags: #BinhGiuNhiet #DanVanPhong #GiuNong8

Phiên bản 2:
Hook: Đừng để nhu cầu nhỏ làm chậm nhịp của dân văn phòng mang cà phê đi làm.
Caption: Với nắp chống tràn và dễ vệ sinh, bình giữ nhiệt thép 316 cho cảm giác thực tế, dễ hiểu và không nói quá công dụng. freeship cho đơn từ 2 sản phẩm là điểm cộng thêm nếu bạn đang so sánh lựa chọn.
Lời kêu gọi hành động: Bình luận nhu cầu của bạn để được gợi ý.
Hashtags: #BinhGiuNhiet #NapChongTran #MuaSamThongMinh

Phiên bản 3:
Hook: Đừng chần chừ với dân văn phòng mang cà phê đi làm một lựa chọn gọn gàng hơn.
Caption: Khi xem bình giữ nhiệt thép 316, hãy chú ý vào giữ nóng 8 giờ, nắp chống tràn và dễ vệ sinh. Đây là phần thông tin đủ để bạn cân nhắc trước khi quyết định.
Lời kêu gọi hành động: Nhắn tin để kiểm tra mẫu phù hợp.
Hashtags: #BinhGiuNhiet #DeVeSinh #ThuongMaiDienTu","ecommerce","urgent","social","bình giữ nhiệt thép 316"
"Bạn là chuyên gia copywriting cho ngành Thương Mại Điện Tử.
Hãy viết Email Marketing với tone Chuyên nghiệp.
Sản phẩm/dịch vụ: bình giữ nhiệt thép 316.
Từ khóa chính: giữ nóng 8 giờ; nắp chống tràn; dễ vệ sinh.
Đối tượng mục tiêu: dân văn phòng mang cà phê đi làm.
Thông tin bổ sung: freeship cho đơn từ 2 sản phẩm.
Độ dài mong muốn: vừa đủ chi tiết.
Giới hạn output tối đa: 1800 tokens.
Tạo đúng 3 phiên bản riêng biệt.
Định dạng bắt buộc:
Phiên bản 1: ...
Phiên bản 2: ...
Phiên bản 3: ...
Mỗi phiên bản phải tự đứng độc lập, không gom chung thành một đoạn lớn.
Format riêng theo loại nội dung:
Subject: dòng tiêu đề email.
Preview text: đoạn xem trước ngắn.
Lời chào: lời chào phù hợp người nhận.
Nội dung chính: tách thành các đoạn ngắn, có thể có bullet nếu cần.
Lời kêu gọi hành động: hành động chính trong email.
Không viết như social caption, landing page hoặc SEO snippet.
Dùng tiếng Việt tự nhiên, đầy đủ dấu, có lời kêu gọi hành động rõ ràng.
Temperature tham khảo: 0.7.","Phiên bản 1:
Subject: Gợi ý bình giữ nhiệt thép 316 cho dân văn phòng mang cà phê đi làm
Preview text: Tóm tắt nhanh các điểm đáng cân nhắc trước khi chọn mua.
Lời chào: Chào bạn,
Nội dung chính: Nếu bạn đang tìm một lựa chọn phù hợp cho nhu cầu hằng ngày, bình giữ nhiệt thép 316 có các điểm nổi bật như giữ nóng 8 giờ, nắp chống tràn và dễ vệ sinh. Hiện có freeship cho đơn từ 2 sản phẩm, nên bạn có thể xem thêm thông tin trước khi quyết định.
Lời kêu gọi hành động: Xem chi tiết sản phẩm hôm nay.

Phiên bản 2:
Subject: bình giữ nhiệt thép 316 có thể hợp với nhu cầu của bạn
Preview text: Một vài lý do để dân văn phòng mang cà phê đi làm cân nhắc sản phẩm này.
Lời chào: Chào bạn,
Nội dung chính: bình giữ nhiệt thép 316 tập trung vào nắp chống tràn, giữ nóng 8 giờ và dễ vệ sinh. Thông tin được viết theo đúng brief, không thêm chứng nhận hay số liệu ngoài phạm vi. freeship cho đơn từ 2 sản phẩm giúp bạn có thêm lý do so sánh.
Lời kêu gọi hành động: Nhắn lại để được tư vấn lựa chọn phù hợp.

Phiên bản 3:
Subject: Xem nhanh bình giữ nhiệt thép 316 trước khi bạn chọn
Preview text: Thông tin ngắn gọn, dễ so sánh và có ưu đãi đi kèm.
Lời chào: Chào bạn,
Nội dung chính: Với dân văn phòng mang cà phê đi làm, một sản phẩm dễ hiểu thường giúp quyết định nhanh hơn. bình giữ nhiệt thép 316 có giữ nóng 8 giờ, nắp chống tràn và dễ vệ sinh; ngoài ra còn có freeship cho đơn từ 2 sản phẩm để bạn cân nhắc thêm.
Lời kêu gọi hành động: Mở trang sản phẩm để xem thêm chi tiết.","ecommerce","professional","email","bình giữ nhiệt thép 316"
"Bạn là chuyên gia copywriting cho ngành Thương Mại Điện Tử.
Hãy viết Lời Kêu Gọi Hành Động với tone Thân thiện.
Sản phẩm/dịch vụ: bình giữ nhiệt thép 316.
Từ khóa chính: giữ nóng 8 giờ; nắp chống tràn; dễ vệ sinh.
Đối tượng mục tiêu: dân văn phòng mang cà phê đi làm.
Thông tin bổ sung: freeship cho đơn từ 2 sản phẩm.
Độ dài mong muốn: vừa đủ chi tiết.
Giới hạn output tối đa: 1800 tokens.
Tạo đúng 3 phiên bản riêng biệt.
Định dạng bắt buộc:
Phiên bản 1: ...
Phiên bản 2: ...
Phiên bản 3: ...
Mỗi phiên bản phải tự đứng độc lập, không gom chung thành một đoạn lớn.
Format riêng theo loại nội dung:
Lời kêu gọi hành động chính: câu/nút kêu gọi hành động.
Microcopy: một câu hỗ trợ ngay dưới lời kêu gọi hành động.
Chỉ viết lời kêu gọi hành động, không thêm bài quảng cáo dài.
Dùng tiếng Việt tự nhiên, đầy đủ dấu, có lời kêu gọi hành động rõ ràng.
Temperature tham khảo: 0.7.","Phiên bản 1:
Lời kêu gọi hành động chính: Mua bình giữ nhiệt thép 316 ngay hôm nay
Microcopy: Phù hợp cho dân văn phòng mang cà phê đi làm, có freeship cho đơn từ 2 sản phẩm và thông tin rõ ràng để bạn chọn nhanh.

Phiên bản 2:
Lời kêu gọi hành động chính: Chọn bình giữ nhiệt thép 316 cho nhu cầu hiện tại
Microcopy: Tập trung vào giữ nóng 8 giờ và nắp chống tràn, giúp bạn quyết định dễ hơn.

Phiên bản 3:
Lời kêu gọi hành động chính: Nhắn shop để được tư vấn bình giữ nhiệt thép 316
Microcopy: Bạn có thể hỏi thêm về dễ vệ sinh và freeship cho đơn từ 2 sản phẩm trước khi quyết định.","ecommerce","friendly","cta","bình giữ nhiệt thép 316"
"Bạn là chuyên gia copywriting cho ngành Thương Mại Điện Tử.
Hãy viết Tiêu Đề Quảng Cáo với tone Khẩn cấp.
Sản phẩm/dịch vụ: đèn bàn LED chống chói.
Từ khóa chính: 3 mức sáng; cổ đèn linh hoạt; tiết kiệm điện.
Đối tượng mục tiêu: sinh viên học khuya và làm việc tại nhà.
Thông tin bổ sung: giảm 10 phần trăm cho khách mới.
Độ dài mong muốn: vừa đủ chi tiết.
Giới hạn output tối đa: 1800 tokens.
Tạo đúng 3 phiên bản riêng biệt.
Định dạng bắt buộc:
Phiên bản 1: ...
Phiên bản 2: ...
Phiên bản 3: ...
Mỗi phiên bản phải tự đứng độc lập, không gom chung thành một đoạn lớn.
Format riêng theo loại nội dung:
Headline: một câu chính sắc, dễ đọc, có lợi ích hoặc điểm khác biệt.
Subheadline: một câu phụ làm rõ lời hứa của headline.
Lời kêu gọi hành động: một câu ngắn thúc đẩy người đọc hành động.
Không viết thành email, social post, mô tả sản phẩm hoặc landing page đầy đủ.
Dùng tiếng Việt tự nhiên, đầy đủ dấu, có lời kêu gọi hành động rõ ràng.
Temperature tham khảo: 0.7.","Phiên bản 1:
Headline: Đừng chần chừ với đèn bàn LED chống chói cho sinh viên học khuya và làm việc tại nhà với 3 mức sáng.
Subheadline: Tập trung vào cổ đèn linh hoạt và tiết kiệm điện, phù hợp khi bạn cần một lựa chọn rõ ràng và nhanh.
Lời kêu gọi hành động: Xem ngay để chọn đúng mẫu.

Phiên bản 2:
Headline: đèn bàn LED chống chói là lựa chọn đáng cân nhắc cho sinh viên học khuya và làm việc tại nhà.
Subheadline: Điểm mạnh nằm ở cổ đèn linh hoạt, 3 mức sáng và giảm 10 phần trăm cho khách mới để bạn so sánh dễ hơn.
Lời kêu gọi hành động: Nhắn shop để được tư vấn nhanh.

Phiên bản 3:
Headline: Giữ nhịp nhanh hơn cho đèn bàn LED chống chói nếu bạn cần 3 mức sáng và cổ đèn linh hoạt.
Subheadline: Cách trình bày gọn, bám sát nhu cầu thật và không nói quá công dụng.
Lời kêu gọi hành động: Mở chi tiết sản phẩm ngay hôm nay.","ecommerce","urgent","headline","đèn bàn LED chống chói"
"Bạn là chuyên gia copywriting cho ngành Thương Mại Điện Tử.
Hãy viết Tiêu Đề Quảng Cáo với tone Thân thiện.
Sản phẩm/dịch vụ: đèn bàn LED chống chói.
Từ khóa chính: 3 mức sáng; cổ đèn linh hoạt; tiết kiệm điện.
Đối tượng mục tiêu: sinh viên học khuya và làm việc tại nhà.
Thông tin bổ sung: giảm 10 phần trăm cho khách mới.
Độ dài mong muốn: vừa đủ chi tiết.
Giới hạn output tối đa: 1800 tokens.
Tạo đúng 3 phiên bản riêng biệt.
Định dạng bắt buộc:
Phiên bản 1: ...
Phiên bản 2: ...
Phiên bản 3: ...
Mỗi phiên bản phải tự đứng độc lập, không gom chung thành một đoạn lớn.
Format riêng theo loại nội dung:
Headline: một câu chính sắc, dễ đọc, có lợi ích hoặc điểm khác biệt.
Subheadline: một câu phụ làm rõ lời hứa của headline.
Lời kêu gọi hành động: một câu ngắn thúc đẩy người đọc hành động.
Không viết thành email, social post, mô tả sản phẩm hoặc landing page đầy đủ.
Dùng tiếng Việt tự nhiên, đầy đủ dấu, có lời kêu gọi hành động rõ ràng.
Temperature tham khảo: 0.7.","Phiên bản 1:
Headline: Gợi ý dễ dùng cho đèn bàn LED chống chói cho sinh viên học khuya và làm việc tại nhà với 3 mức sáng.
Subheadline: Tập trung vào cổ đèn linh hoạt và tiết kiệm điện, phù hợp khi bạn cần một lựa chọn rõ ràng và nhanh.
Lời kêu gọi hành động: Xem ngay để chọn đúng mẫu.

Phiên bản 2:
Headline: đèn bàn LED chống chói là lựa chọn đáng cân nhắc cho sinh viên học khuya và làm việc tại nhà.
Subheadline: Điểm mạnh nằm ở cổ đèn linh hoạt, 3 mức sáng và giảm 10 phần trăm cho khách mới để bạn so sánh dễ hơn.
Lời kêu gọi hành động: Nhắn shop để được tư vấn nhanh.

Phiên bản 3:
Headline: Thêm tiện lợi cho đèn bàn LED chống chói nếu bạn cần 3 mức sáng và cổ đèn linh hoạt.
Subheadline: Cách trình bày gọn, bám sát nhu cầu thật và không nói quá công dụng.
Lời kêu gọi hành động: Mở chi tiết sản phẩm ngay hôm nay.","ecommerce","friendly","headline","đèn bàn LED chống chói"
